organisation,slug,body_type,govuk_status,parent,total_docs,relevant_docs,guidance,statutory_guidance,detailed_guide,manual_section,manual,policy_paper,decision,regulation,notice,research,independent_report,impact_assessment,corporate_report,consultation_outcome,government_response,other_relevant
Platform4,platform4,Public corporation,exempt,network-rail,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plymouth Education Action Zone,plymouth-education-action-zone,Other,closed,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Police Advisory Board for England and Wales,police-advisory-board-for-england-and-wales,Advisory non-departmental public body,live,home-office,26,15,3,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0
Police Arbitration Tribunal,police-arbitration-tribunal,Tribunal,closed,home-office,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Police Complaints Authority,police-complaints-authority,Other,closed,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Police Discipline Appeals Tribunal,police-discipline-appeals-tribunal,Tribunal,live,home-office,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Police Information Technology Organisation,police-information-technology-organisation,Executive agency,closed,,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Police Negotiating Board,police-negotiating-board,Advisory non-departmental public body,closed,home-office,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Police Remuneration Review Body,police-remuneration-review-body,Advisory non-departmental public body,live,home-office,89,32,0,0,0,0,0,10,0,0,0,0,22,0,0,0,0,0
Police Service of Northern Ireland,police-service-of-northern-ireland,Executive non-departmental public body,exempt,department-of-justice-northern-ireland,980,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
Policy Lab,policy-lab,Other,joining,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Policy Profession,civil-service-policy-profession,Sub organisation,live,civil-service,7,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Polytechnics and Colleges Funding Council,polytechnics-and-colleges-funding-council,Other,closed,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Porton Biopharma Limited,porton-biopharma-limited,Other,exempt,department-of-health-and-social-care,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Post Office,post-office,Public corporation,exempt,department-for-business-and-trade,35,12,5,0,0,0,0,1,0,0,0,0,2,0,2,1,1,0
Postal Services Commission,postal-services-commission,Other,closed,,13,11,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0
Postgraduate Medical Education and Training Board,postgraduate-medical-education-and-training-board,Other,closed,,9,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
Prescription Pricing Authority,prescription-pricing-authority,Other,closed,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Preventing Sexual Violence in Conflict Initiative,preventing-sexual-violence-in-conflict-initiative,Sub organisation,live,foreign-commonwealth-development-office,76,22,4,0,4,0,0,10,0,0,0,0,1,0,3,0,0,0
"Prime Minister's Office, 10 Downing Street",prime-ministers-office-10-downing-street,Executive office,live,cabinet-office,9014,347,8,0,1,0,0,314,0,0,0,5,3,0,4,1,11,0
Prison Service Pay Review Body,prison-services-pay-review-body,Advisory non-departmental public body,live,ministry-of-justice,130,56,0,0,0,0,0,10,0,0,0,19,21,0,6,0,0,0
Prisons and Probation Ombudsman,prisons-and-probation-ombudsman,Other,exempt,ministry-of-justice,24,18,0,0,0,0,0,2,0,0,0,0,0,0,16,0,0,0
Privy Council Office,privy-council-office,Other,exempt,cabinet-office,10,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Probation Board for Northern Ireland,probation-board-for-northern-ireland,Other,exempt,department-of-justice-northern-ireland,32,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
Probation Service,probation-service,Sub organisation,live,hm-prison-and-probation-service,386,335,10,0,287,0,0,15,0,0,0,1,0,0,21,1,0,0
Procurement profession,civil-service-procurement-profession,Sub organisation,closed,civil-service,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Professional Oversight Board,professional-oversight-board,Other,closed,,8,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
Professional Standards Authority for Health and Social Care,professional-standards-authority-for-health-and-social-care,Other,exempt,,24,22,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0
Project Delivery Function,project-delivery-function,Sub organisation,closed,civil-service,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Project Delivery Profession,civil-service-project-delivery-profession,Sub organisation,closed,civil-service,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Public Accounts Commission,public-accounts-commission,Other,closed,,9,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
Public Health Agency (Northern Ireland),public-health-agency-northern-ireland,Other,exempt,department-of-health-northern-ireland,17,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Public Health England,public-health-england,Executive agency,closed,department-of-health-and-social-care,5598,2457,996,0,159,0,0,50,0,0,0,1018,53,5,131,33,0,12
Public Health Laboratory Service Board,public-health-laboratory-service-board,Executive agency,closed,,5,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Public Health Wales,public-health-wales,Other,exempt,,25,3,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0
Public Lending Right Office,public-lending-right-office,Other,closed,,12,10,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1
Public Prosecution Service for Northern Ireland,public-prosecution-service-for-northern-ireland,Other,exempt,northern-ireland-executive,51,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Public Sector Fraud Authority,public-sector-fraud-authority,Sub organisation,live,cabinet-office,75,52,23,2,4,0,0,11,0,0,0,0,0,0,9,3,0,0
Public Services Ombudsman for Wales,public-services-ombudsman-for-wales,Other,exempt,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pubs Code Adjudicator,pubs-code-adjudicator,Other,exempt,department-for-business-and-trade,94,28,0,0,1,0,0,0,0,0,0,0,0,0,27,0,0,0
Qualifications and Curriculum Authority,qualifications-and-curriculum-authority,Executive agency,closed,,12,10,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0
Qualifications and Curriculum Development Agency,qualifications-and-curriculum-development-agency,Executive agency,closed,,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Queen Elizabeth II Conference Centre,queen-elizabeth-ii-conference-centre,Executive agency,exempt,ministry-of-housing-communities-local-government,73,20,0,0,0,0,0,0,0,0,0,0,0,0,19,0,1,0
Race Disparity Unit,race-disparity-unit,Sub organisation,closed,cabinet-office,76,40,4,0,1,0,0,8,0,0,0,21,2,0,1,3,0,0
Race Equality Unit,race-equality-unit,Sub organisation,live,cabinet-office,16,10,2,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0
Radioactive Waste Management,radioactive-waste-management,Other,closed,nuclear-decommissioning-authority,188,37,2,0,3,0,0,2,0,0,0,8,0,0,14,8,0,0
Rail Accident Investigation Branch,rail-accident-investigation-branch,Other,live,department-for-transport,1068,791,11,0,1,0,0,10,0,0,0,28,122,0,23,0,0,596
Rail Safety and Standards Board,rail-safety-and-standards-board,Other,exempt,,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Railway Heritage Committee,railway-heritage-committee,Executive non-departmental public body,closed,department-for-transport,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reclaim Fund Ltd,reclaim-fund-ltd,Executive non-departmental public body,live,hm-treasury,6,4,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0
Redfern Inquiry,redfern-inquiry,Other,closed,,4,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Regeneration Investment Organisation,regeneration-investment-organisation,Sub organisation,closed,uk-trade-investment,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Regional Department for Education (DfE) Directors ,regional-department-for-education-dfe-directors,Sub organisation,live,department-for-education,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Regional Schools Commissioners,regional-schools-commissioners,Sub organisation,closed,department-for-education,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Regulator of Social Housing,regulator-of-social-housing,Executive non-departmental public body,live,ministry-of-housing-communities-local-government,1162,645,42,0,68,0,0,6,344,0,4,140,0,1,15,12,0,13
Regulatory Delivery,regulatory-delivery,Other,closed,,26,12,2,0,0,0,0,4,0,0,0,1,1,0,2,2,0,0
Regulatory Horizons Council,regulatory-horizons-council,Other,closed,department-for-science-innovation-and-technology,30,21,0,0,0,0,0,3,0,0,0,4,14,0,0,0,0,0
Regulatory Innovation Office,regulatory-innovation-office,Sub organisation,live,department-for-science-innovation-and-technology,22,10,3,0,0,0,0,3,0,0,2,1,1,0,0,0,0,0
Regulatory Policy Committee,regulatory-policy-committee,Advisory non-departmental public body,live,department-for-business-and-trade,816,797,19,0,0,0,0,0,0,0,0,776,1,0,1,0,0,0
Remploy Ltd,remploy-ltd,Executive non-departmental public body,closed,department-for-work-pensions,6,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
Remploy Pension Scheme Trustees Ltd ,remploy-pension-scheme-trustees-ltd,Other,exempt,department-for-work-pensions,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Renewable Fuels Agency,renewable-fuels-agency,Executive agency,closed,,8,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
Rent Service,rent-service,Executive agency,closed,,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Research Collaboration Advice Team,research-collaboration-advice-team,Sub organisation,live,department-for-science-innovation-and-technology,7,4,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0
Research England,research-england,Sub organisation,exempt,uk-research-and-innovation,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reserve Forces' and Cadets' Associations (RFCA),reserve-forces-and-cadets-associations,Other,live,ministry-of-defence,14703,24,3,0,14,0,0,0,0,0,0,0,1,0,6,0,0,0
Reserve Forces Appeal Tribunal,reserve-forces-appeal-tribunal,Tribunal,live,hm-courts-and-tribunals-service,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Revenue and Customs Prosecutions Office,revenue-and-customs-prosecutions-office,Other,closed,,6,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
Review Board for Government Contracts,review-board-for-government-contracts,Advisory non-departmental public body,closed,ministry-of-defence,5,3,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
Review Body for Nursing and Other Health Professions,review-body-for-nursing-and-other-health-professions,Other,closed,,4,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Review Body on Doctors' and Dentists' Remuneration,review-body-on-doctors-and-dentists-remuneration,Advisory non-departmental public body,live,department-of-health-and-social-care,75,32,0,0,0,0,0,4,0,0,0,8,17,0,2,1,0,0
Rivers Agency,rivers-agency,Executive agency,closed,,5,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Roads Service,roads-service,Other,closed,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Rosemary Nelson Inquiry,rosemary-nelson-inquiry,Other,closed,,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Royal Air Force Museum,royal-air-force-museum,Executive non-departmental public body,exempt,ministry-of-defence,14,11,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0
Royal Armouries Museum,royal-armouries-museum,Executive non-departmental public body,exempt,department-for-culture-media-and-sport,30,19,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0
Royal Commission on Criminal Justice,royal-commission-on-criminal-justice,Other,closed,,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Royal Commission on Environmental Pollution,royal-commission-on-environmental-pollution,Other,closed,,7,5,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0
Royal Liverpool Childrens Inquiry,royal-liverpool-childrens-inquiry,Other,closed,,4,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Royal Mail,royal-mail,Public corporation,closed,,9,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
Royal Marines Museum,royal-marines-museum,Sub organisation,exempt,ministry-of-defence,10,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
Royal Mint,royal-mint,Other,exempt,hm-treasury,32,19,0,0,0,0,0,1,0,0,0,0,0,0,18,0,0,0
Royal Mint Advisory Committee,royal-mint-advisory-committee,Advisory non-departmental public body,live,hm-treasury,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Royal Museums Greenwich,royal-museums-greenwich,Executive non-departmental public body,exempt,department-for-culture-media-and-sport,27,17,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0
Royal Navy Submarine Museum,royal-navy-submarine-museum,Sub organisation,exempt,ministry-of-defence,10,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
Royal Parks,royal-parks,Public corporation,exempt,department-for-culture-media-and-sport,21,8,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
Royal Trustees' Office,royal-trustees-office,Other,closed,,7,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
Rural Development Programme for England Network,rural-development-programme-for-england-network,Sub organisation,closed,department-for-environment-food-rural-affairs,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rural Payments Agency,rural-payments-agency,Executive agency,live,department-for-environment-food-rural-affairs,3444,1256,918,4,135,100,9,8,0,0,45,2,0,0,33,2,0,0
S4C,s4c,Other,exempt,department-for-culture-media-and-sport,19,7,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0
Salix Finance Ltd,salix-finance-ltd,Executive non-departmental public body,exempt,department-for-energy-security-and-net-zero,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
School Food Trust,school-food-trust,Other,closed,,6,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
School Teachers' Review Body,school-teachers-review-body,Advisory non-departmental public body,live,department-for-education,79,30,0,0,0,0,0,2,0,0,0,13,15,0,0,0,0,0
Schools Commissioners Group,schools-commissioners-group,Sub organisation,closed,department-for-education,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Science Advisory Committees,science-advisory-committees,Executive non-departmental public body,joining,food-standards-agency,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Science and Technology Ethics Advisory Committee,science-and-technology-ethics-advisory-committee,Advisory non-departmental public body,live,home-office,17,6,1,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0
Science and Technology Facilities Council,science-and-technology-facilities-council,Sub organisation,exempt,uk-research-and-innovation,38,19,0,0,0,0,0,0,0,0,1,0,0,0,18,0,0,0
Science Council,science-council,Other,joining,food-standards-agency,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Science Museum Group,science-museum-group,Executive non-departmental public body,exempt,department-for-culture-media-and-sport,34,20,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0
Scientific Advisory Committee on the Medical Implications of Less-Lethal Weapons,science-advisory-committee-on-the-medical-implications-of-less-lethal-weapons,Advisory non-departmental public body,closed,ministry-of-defence,8,5,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
Scientific Advisory Group for Emergencies,scientific-advisory-group-for-emergencies,Other,live,,1158,1010,3,0,0,0,0,2,0,0,0,1003,1,0,1,0,0,0
Scotland Office,scotland-office,Ministerial department,live,,209,12,1,0,0,0,0,6,0,0,0,0,0,0,4,0,1,0
Scottish Arts Council,scottish-arts-council,Other,closed,,7,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
Scottish Hospital Trust,scottish-hospital-trust,Other,closed,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Scottish Law Commission,scottish-law-commission,Other,closed,,18,16,0,0,0,0,0,0,0,0,0,11,1,0,4,0,0,0
Scottish Office,scottish-office,Ministerial department,closed,,36,27,1,0,0,0,0,11,0,0,0,0,4,0,11,0,0,0
Scottish Screen,scottish-screen,Other,closed,,10,8,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
Scottish Sports Council,scottish-sports-council,Executive agency,closed,,14,12,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0
Seafish,seafish,Executive non-departmental public body,exempt,department-for-environment-food-rural-affairs,24,14,1,0,0,0,0,2,0,0,0,2,0,0,9,0,0,0
Secret Intelligence Service,secret-intelligence-service,Other,exempt,foreign-commonwealth-development-office,17,5,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0
Security Industry Authority,security-industry-authority,Executive non-departmental public body,live,home-office,904,167,23,1,48,0,0,4,0,0,0,8,0,2,75,3,1,2
Security Vetting Appeals Panel,security-vetting-appeals-panel,Advisory non-departmental public body,live,cabinet-office,16,6,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Sellafield Ltd,sellafield-ltd,Other,live,nuclear-decommissioning-authority,915,199,23,3,9,0,0,1,0,0,0,10,0,1,145,7,0,0
Senior Courts Costs Office,senior-courts-costs-office,Court,live,hm-courts-and-tribunals-service,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senior Salaries Review Body ,review-body-on-senior-salaries,Advisory non-departmental public body,live,cabinet-office,149,71,1,0,0,0,0,9,0,0,0,16,28,0,15,0,0,2
Sentence Review Commissioners,sentence-review-commissioners,Other,closed,,11,9,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
Sentencing Council for England and Wales,the-sentencing-council-for-england-and-wales,Advisory non-departmental public body,exempt,ministry-of-justice,20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Serious Fraud Office,serious-fraud-office,Non-ministerial department,live,attorney-generals-office,225,57,19,2,1,0,0,6,0,0,2,0,0,1,26,0,0,0
Serious Organised Crime Agency,serious-organised-crime-agency,Executive non-departmental public body,closed,home-office,15,8,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
Service Children's Education,service-children-s-education,Executive agency,closed,ministry-of-defence,8,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
Service Complaints Commissioner,service-complaints-commissioner,Other,closed,ministry-of-defence,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Service Complaints Ombudsman ,service-complaints-ombudsman,Other,exempt,ministry-of-defence,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Service Personnel and Veterans Agency,service-personnel-and-veterans-agency,Executive agency,closed,ministry-of-defence,5,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Service Prosecuting Authority,service-prosecuting-authority,Other,transitioning,ministry-of-defence,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sheffield Forgemasters International Ltd,sheffield-forgemasters-international-ltd,Public corporation,exempt,ministry-of-defence,6,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Shipman Inquiry,shipman-inquiry,Other,closed,,4,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Single Source Regulations Office,single-source-regulations-office,Executive non-departmental public body,exempt,ministry-of-defence,433,245,54,18,9,0,0,1,0,0,0,44,20,0,56,41,0,2
Sir John Soane's Museum,sir-john-soane-s-museum,Executive non-departmental public body,exempt,department-for-culture-media-and-sport,21,19,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0
SITPRO,sitpro,Other,closed,,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Skills England,skills-england,Executive agency,live,department-for-work-pensions,50,29,12,1,4,0,0,0,0,0,0,10,0,0,1,0,0,1
Skills Funding Agency,skills-funding-agency,Executive agency,closed,department-for-education,151,32,2,0,0,0,0,2,0,0,0,20,1,0,7,0,0,0
Small Business Commissioner,small-business-commissioner,Executive non-departmental public body,live,department-for-business-and-trade,33,8,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,1
Social Mobility and Child Poverty Commission,social-mobility-and-child-poverty-commission,Advisory non-departmental public body,closed,department-for-education,60,29,0,0,0,0,0,7,0,0,0,20,0,0,0,2,0,0
Social Mobility Commission,social-mobility-commission,Advisory non-departmental public body,exempt,cabinet-office,168,79,7,0,0,0,0,0,0,0,0,64,0,0,8,0,0,0
Social Science Research Committee,social-science-research-committee,Advisory non-departmental public body,exempt,food-standards-agency,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Social Security Advisory Committee,social-security-advisory-committee,Advisory non-departmental public body,live,department-for-work-pensions,263,125,0,0,0,0,0,16,0,0,0,1,73,0,17,17,0,1
Social Security Agency,social-security-agency,Executive agency,closed,northern-ireland-executive,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Social Work England,social-work-england,Executive non-departmental public body,exempt,department-for-education,11,9,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0
South Bradford Education Action Zone,south-bradford-education-action-zone,Other,closed,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
South Downs National Park Authority,south-downs-national-park-authority,Other,exempt,department-for-environment-food-rural-affairs,5,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
South East England Development Agency,south-east-england-development-agency,Executive agency,closed,,7,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
South East England Virtual Education Action Zone,south-east-england-virtual-education-action-zone,Other,closed,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
South East Sheffield Education Action Zone,south-east-sheffield-education-action-zone,Other,closed,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
South Eastern Education and Library Board,south-eastern-education-and-library-board,Other,closed,,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
South West of England Regional Development Agency,south-west-of-england-regional-development-agency,Executive agency,closed,,7,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
Southend Education Action Zone,southend-education-action-zone,Other,closed,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Southern Health and Social Services Board,southern-health-and-social-services-board,Other,closed,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Special EU Programmes Body,special-eu-programmes-body,Other,closed,,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Speke Garston Education Action Zone,speke-garston-education-action-zone,Other,closed,,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Sport England,sport-england,Executive non-departmental public body,exempt,department-for-culture-media-and-sport,80,34,1,0,0,0,0,1,0,0,0,1,0,0,31,0,0,0
Sport Northern Ireland (Sports Council for Northern Ireland),sports-council-for-northern-ireland,Other,exempt,department-for-communities-northern-ireland,16,14,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0
Sports Council for Wales,sports-council-for-wales,Other,exempt,welsh-government,23,20,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0
Sports Grounds Safety Authority,sports-grounds-safety-authority,Executive non-departmental public body,exempt,department-for-culture-media-and-sport,21,10,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
Stabilisation Unit,stabilisation-unit,Other,closed,,80,53,15,0,0,0,0,11,0,0,0,8,2,0,17,0,0,0
Staff Commission for Education and Library Boards,staff-commission-for-education-and-library-boards,Other,closed,,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Standards and Testing Agency,standards-and-testing-agency,Executive agency,live,department-for-education,218,159,95,16,24,0,0,1,0,0,0,1,3,0,17,2,0,0
Standards Board for England,standards-board-for-england,Other,closed,,8,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
State Veterinary Service,state-veterinary-service,Other,closed,,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Statistics Commission,statistics-commission,Other,closed,,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Stoke Education Action Zone,stoke-education-action-zone,Other,closed,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Strategic Command,strategic-command,Sub organisation,closed,ministry-of-defence,194,14,4,0,2,0,0,6,0,0,0,1,0,0,1,0,0,0
Strategic Rail Authority,strategic-rail-authority,Other,closed,,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Student Loans Company,student-loans-company,Executive non-departmental public body,live,department-for-education,1120,170,53,3,46,0,0,0,0,0,0,0,0,0,67,1,0,0
Submarine Delivery Agency,submarine-delivery-agency,Executive agency,live,ministry-of-defence,49,15,4,0,1,0,0,0,0,0,0,0,0,0,10,0,0,0
Subsidy Advice Unit,subsidy-advice-unit,Sub organisation,live,competition-and-markets-authority,97,92,2,0,1,0,0,0,0,0,1,0,86,0,0,2,0,0
Sunderland Education Action Zone,sunderland-education-action-zone,Other,closed,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Supreme Court of the United Kingdom,supreme-court-of-the-united-kingdom,Non-ministerial department,exempt,,15,13,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0
Surveillance Camera Commissioner,surveillance-camera-commissioner,Other,closed,home-office,81,13,4,1,0,0,0,0,0,0,0,0,0,0,7,1,0,0
Sutherland Inquiry,sutherland-inquiry,Other,closed,,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Tate,tate,Executive non-departmental public body,exempt,department-for-culture-media-and-sport,30,18,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0
Teaching Regulation Agency,teaching-regulation-agency,Executive agency,live,department-for-education,1672,1663,8,0,6,0,0,0,1639,0,0,0,0,0,10,0,0,0
Technical Advisory Board,technical-advisory-board,Advisory non-departmental public body,live,home-office,27,14,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0
Technology and Construction Court,technology-and-construction-court,Court,live,hm-courts-and-tribunals-service,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Technology Strategy Board,technology-strategy-board,Executive non-departmental public body,closed,department-for-business-innovation-skills,42,9,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0
Telford and Wrekin Education Action Zone,telford-and-wrekin-education-action-zone,Other,closed,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Tenant Services Authority,tenant-services-authority,Executive agency,closed,,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
The Adjudicator’s Office,the-adjudicator-s-office,Other,live,hm-revenue-customs,35,23,3,0,9,0,0,0,0,0,0,0,0,0,11,0,0,0
The Advisory Council on National Records and Archives,the-advisory-council-on-national-records-and-archives,Advisory non-departmental public body,exempt,department-for-culture-media-and-sport,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Business and Property Courts,the-business-and-property-courts,Court,live,hm-courts-and-tribunals-service,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Business List,the-business-list,Court,live,hm-courts-and-tribunals-service,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Charity Commission,charity-commission,Non-ministerial department,live,department-for-culture-media-and-sport,1087,460,94,5,82,0,0,55,76,0,0,57,1,1,70,9,10,0
The Competition List,the-competition-list,Court,live,hm-courts-and-tribunals-service,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Crown Estate,the-crown-estate,Other,exempt,hm-treasury,40,32,0,0,0,0,0,1,0,0,0,0,0,0,31,0,0,0
The Electoral Commission,the-electoral-commission,Independent monitoring body,exempt,,25,4,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
The Executive Office (Northern Ireland),the-executive-office-northern-ireland,Other,exempt,northern-ireland-executive,91,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
