company_registration_number,donor_name_as_published,donation_rows,rows_that_would_become_signals,distinct_members,first_accepted,last_accepted,total_pence
SC559988,"Dalglen (No 1811) Limited",1,0,0,2026-03-16,2026-03-16,15000000
00636095,"River Island Clothing Co Ltd",1,0,0,2005-02-01,2005-02-01,500000
9648525,"Mercantile and Maritime UK Limited",1,0,0,2019-11-05,2019-11-05,50000000
00619543,"Kohima Ventures Limited",1,0,0,2017-06-01,2017-06-01,600000
9676370,"Sarr Investments Limited",1,0,0,2017-06-06,2017-06-06,5000000
9691956,"AMBA BLOW DRY LTD",1,0,0,2019-09-30,2019-09-30,250000
9694762,"Just Concrete Ltd",1,0,0,2017-05-20,2017-05-20,150000
00616855,"The Trichological Clinic Limited",1,0,0,2009-07-14,2009-07-14,1000000
972107,"DFS Furniture Co Plc",1,0,0,2009-05-21,2009-05-21,500000
976528,"Mayfield Chicks Ltd",1,0,0,2019-12-04,2019-12-04,300000
SC570493,"Dalglen (No. 1813) Limited",1,0,0,2025-12-24,2025-12-24,15000000
979650000,"Speedwell Promotions Ltd",1,0,0,2010-03-31,2010-03-31,170000
9800567,"Realia EM Ltd",1,0,0,2021-10-04,2021-10-04,400000
00608198,"ICAEW Limited",1,0,0,2012-07-17,2012-07-17,1319150
00601312,"M M Bellinger & Sons Ltd",1,0,0,2005-05-09,2005-05-09,107750
983376,"Independent News & Media (UK) Limited",1,0,0,2008-08-17,2008-08-17,900000
00598781,"Tyne Tees Television",1,0,0,2003-01-08,2003-01-08,144520
